"","PlayerName","pos","points","marg","value"
"658","Aaron Murray","qb",7.99,-244.778,0
"659","Matt Cassel","qb",7.72,-245.048,0
"660","Ryan Mallett","qb",7.526,-245.242,0
"661","Bruce Gradkowski","qb",7.38,-245.388,0
"662","Chad Henne","qb",7.378,-245.39,0
"663","Nick Foles","qb",7.228,-245.54,0
"664","Scott Tolzien","qb",6.618,-246.15,0
"665","Derek Anderson","qb",5.838,-246.93,0
"666","Kellen Clemens","qb",5.58,-247.188,0
"667","Ryan Nassib","qb",4.444,-248.324,0
"668","Matt Moore","qb",3.098,-249.67,0
"669","Matt Schaub","qb",2.824,-249.944,0
"670","Luke McCown","qb",1.974,-250.794,0
"671","Brett Hundley","qb",1.62,-251.148,0
"672","Austin Davis","qb",1.09,-251.678,0
"673","Jacoby Brissett","qb",0.8,-251.968,0
"674","Tyler Bray","qb",0.6,-252.168,0
"675","Bryce Petty","qb",0.44,-252.328,0
"676","Tom Savage","qb",0.2,-252.568,0
"677","Sean Renfree","qb",0.012,-252.756,0
"678","Cardale Jones","qb",0,-252.768,0
"679","Jeff Driskel","qb",0,-252.768,0
"680","Brandon Doughty","qb",0,-252.768,0
"681","Kevin Hogan","qb",0,-252.768,0
"682","Matt Simms","qb",0,-252.768,0
"683","Nate Sudfeld","qb",0,-252.768,0
"684","Jake Rudock","qb",0,-252.768,0
"685","Josh Johnson","qb",0,-252.768,0
"686","Jimmy Clausen","qb",0,-252.768,0
"687","Matt Barkley","qb",0,-252.768,0
"688","Joe Webb","qb",0,-252.768,0
"689","Zac Dysert","qb",0,-252.768,0
"690","Dan LeFevour","qb",0,-252.768,0
"691","Ryan Griffin","qb",0,-252.768,0
"692","Logan Thomas","qb",0,-252.768,0
"693","Jerrod Johnson","qb",0,-252.768,0
"694","Keith Wenning","qb",0,-252.768,0
"695","Stephen Morris","qb",0,-252.768,0
"696","Matt Blanchard","qb",0,-252.768,0
"697","Garrett Grayson","qb",0,-252.768,0
"698","Alex Tanney","qb",0,-252.768,0
"699","Sean Mannion","qb",0,-252.768,0
"700","Taylor Heinicke","qb",0,-252.768,0
"701","Connor Cook","qb",0,-252.768,0
