"","PlayerName","pos","points","marg","value"
"363","Karlos Williams","rb",63.995,-63.33,0
"364","Griff Whalen","wr",10.925,-64.005,0
"365","Jerome Simpson","wr",10.92,-64.01,0
"366","Donteea Dye","wr",10.86,-64.07,0
"367","C.J. Prosise","rb",63.1,-64.225,0
"368","Devin Street","wr",10.68,-64.25,0
"369","Jerick McKinnon","rb",62.875,-64.45,0
"370","Keith Mumphery","wr",10.48,-64.45,0
"371","Kenbrell Thompkins","wr",10.235,-64.695,0
"372","Brandon Tate","wr",10.19,-64.74,0
"373","Jared Goff","qb",221.254,-64.74,0
"374","Kolby Listenbee","wr",10.175,-64.755,0
"375","Tyreek Hill","wr",9.85,-65.08,0
"376","Keenan Reynolds","wr",9.65,-65.28,0
"377","Deonte Thompson","wr",9.435,-65.495,0
"378","Russell Shepard","wr",9.3,-65.63,0
"379","Rashad Ross","wr",9.235,-65.695,0
"380","Cordarrelle Patterson","wr",9.005,-65.925,0
"381","Darren McFadden","rb",61.245,-66.08,0
"382","Chris Moore","wr",8.825,-66.105,0
"383","Michael Campanaro","wr",8.37,-66.56,0
"384","Ricardo Louis","wr",7.925,-67.005,0
"385","Marquise Goodwin","wr",7.8,-67.13,0
"386","Jeremy Ross","wr",7.74,-67.19,0
"387","Demarcus Robinson","wr",7.7,-67.23,0
"388","Javontee Herndon","wr",7.645,-67.285,0
"389","Jakeem Grant","wr",7.45,-67.48,0
"390","Jeremy Butler","wr",6.99,-67.94,0
"391","Walter Powell","wr",6.63,-68.3,0
"392","Kenny Lawler","wr",6.4,-68.53,0
"393","Marc Mariani","wr",6.38,-68.55,0
"394","Greg Salas","wr",6.36,-68.57,0
"395","Tre McBride","wr",6.25,-68.68,0
"396","Mike Thomas","wr",5.94,-68.99,0
"397","Bryan Walters","wr",5.6,-69.33,0
"398","Kevin Smith","wr",5.575,-69.355,0
"399","Keyarris Garrett","wr",5.55,-69.38,0
"400","Cameron Artis-Payne","rb",57.925,-69.4,0
"401","Josh Ferguson","rb",57.86,-69.465,0
"402","Daniel Braverman","wr",5.25,-69.68,0
"403","DeAndrew White","wr",5.195,-69.735,0
"404","Quan Bray","wr",5.175,-69.755,0
"405","Cameron Meredith","wr",4.95,-69.98,0
"406","Spencer Ware","rb",57.33,-69.995,0
"407","Jordan Payton","wr",4.895,-70.035,0
"408","Devin Hester","wr",4.79,-70.14,0
"409","Devontae Booker","rb",57.05,-70.275,0
"410","Kaelin Clay","wr",4.65,-70.28,0
"411","DeVier Posey","wr",4.635,-70.295,0
"412","Hakeem Nicks","wr",4.45,-70.48,0
"413","Kevin Norwood","wr",4.36,-70.57,0
"414","Myles White","wr",4.34,-70.59,0
"415","Rod Streater","wr",4.305,-70.625,0
"416","Aldrick Robinson","wr",4.26,-70.67,0
"417","Charone Peake","wr",3.85,-71.08,0
"418","Lucky Whitehead","wr",3.815,-71.115,0
"419","Bradley Marquez","wr",3.805,-71.125,0
"420","DeAndre Washington","rb",56.16,-71.165,0
"421","Stephen Hill","wr",3.65,-71.28,0
"422","Adam Thielen","wr",3.62,-71.31,0
"423","Frankie Hammond","wr",3.485,-71.445,0
"424","Marcus Easley","wr",3.375,-71.555,0
"425","James Wright","wr",3.3,-71.63,0
"426","Jarrett Boykin","wr",3.175,-71.755,0
"427","Matt Hazel","wr",3.15,-71.78,0
"428","Eric Weems","wr",2.45,-72.48,0
"429","Andre Roberts","wr",2.2,-72.73,0
"430","Andre Caldwell","wr",1.985,-72.945,0
"431","Ifeanyi Momah","wr",1.95,-72.98,0
"432","Trevone Boykin","wr",1.9,-73.03,0
"433","Tim Hightower","rb",53.75,-73.575,0
"434","Brenton Bersin","wr",1.25,-73.68,0
"435","Marlon Moore","wr",1.2,-73.73,0
"436","Brian Tyms","wr",1.15,-73.78,0
"437","Brittan Golden","wr",0.35,-74.58,0
"438","Geremy Davis","wr",0.25,-74.68,0
"439","Seth DeValve","wr",0.05,-74.88,0
"440","Trey Burton","wr",0.05,-74.88,0
"441","Vincent Brown","wr",0,-74.93,0
